Acronym,Full_Spelling
UEC,"urea, electrolytes, creatinine"
UG,undergraduate
UGIB,upper gastrointestinal bleeding
UHF,ultrahigh field (MRI)
UIA,unruptured intracranial aneurysm
UIP,usual interstitial pneumonia
UIQ,upper inner quadrant (breast)
UK,United Kingdom
UL,upper limb
ULAR,ultra low anterior resection
ULP,ulcer-like projections
UO,ureteric orifice
UOQ,upper outer quadrant (breast)
UPJ,ureteropelvic junction
UPPP,uvulopalatopharyngoplasty
UPS,uninterruptible power supply
UPSI,unprotected sexual intercourse
UQ,upper quartile
URT,upper respiratory tract
URTI,upper respiratory tract infection
US,ultrasound
USG,ultrasonography
USMLE,United States Medical Licensing Exam
USO,ulnar shortening osteotomy
USPIO,ultra small superparamagnetic iron oxide (nanoparticles)
USS,ultrasound scan
USWP,ulnar-sided wrist pain
Ut,uterus
UTE,ultrashort echo time
UTI,urinary tract infection
UTSE,ultrashort turbo spin echo (Philips)
UVC,umbilical venous catheter
UVJ,ureterovesical junction
UZ,upper zone
VAC,vacuum-assisted closure (wounds)
VACTER,"vertebral, anal, cardiac, tracheoesophageal, renal"
VACTERL,"vertebral, anal, cardiac, tracheoesophageal, renal, limb defects"
VAD,ventricular assistance device
VALI,ventilator-associated lung injury
VAP,ventilator-acquired pneumonia
VAS,visual analog scale
VASARI,visually accessible Rembrandt images
VAST,variable sampling in time (GE)
VAT,view angle tilting
VATS,video-assisted thoracoscopic surgery
VB,vertebral body
VBAC,vaginal birth after cesarean section
VBG,venous blood gas
VCE,video capsule endoscopy
vCJD,variantCreutzfeld-Jakob disease
VCME,vicarious contrast media excretion
VCU,venous compression ultrasound
VDRL,venereal disease research laboratory
VDS,verbal descriptor scale
VDT,volume doubling time
VEEG,video electroencephalography
VEGF,vascular endothelial growth factor
VEMP,vestibular-evoked myogenic potentials
VENC,velocity encoding
VGKC,voltage-gated potassium channel
VHL,von Hippel Lindau(may be written vHL)
VIBE,volume interpolated breathhold examination (Siemens)
VIBRANT,volume imaging for breast assessment (GE)
VIR,vascular interventional radiology
VISI,volar intercalated segmental instability
VISTA,volume isotropic turbo spin echo acquisition (Philips)
VIT,vitamin
VLCFA,very long chain fatty acids
VLDL,very low density lipoprotein
VMAT,volumetric modulated arc therapy
VNA,vendor-neutral archive
VNS,vagal nerve stimulator
VOC,vaso-occlusive crisis
VOD,veno-occlusive disease
VOG,vein of Galen
VOI,volume of interest
VOL,volume
VOM,vein of Marshall
VOMIT,victim of modern imaging technology
Voxel,volume element
VP,ventriculoperitoneal
VPSPr,variably protease-sensitive prionopathy
VQ,ventilation perfusion(scan)
VRE,vancomycin-resistant enterococcus
VRT,volume-rendered transformation
VS,versus
VSA,vasospastic angina
VSD,ventricular septal defect
VSS,vital signs stable
VTE,venous thromboembolism
VTP,ventral trochlear prominence
VUJ,vesicoureteric junction
VWD,von Willebrand disease
vWF,von Willebrand factor
VZV,varicella zoster virus
WAGR,"Wilms tumor, aniridia, genitourinary anomalies, retardation"
WATS,water selective (Philips)
WAVE,water selective volume excitation (Philips)
W and W,watch and wait
Wb,weber(SI unit of magnetic flux)
WBAT,weight bearing as tolerated
WBC,white blood cells
WBCT,whole body CT
WB-MRI,whole body-MRI
WBR,whole body radiation
WCC,white cell count
WCT,wide complex tachycardia
WD,Whipple disease
WDLPS,well-differentiated liposarcoma
WFL,within functional limits
WFOP,water-fat opposed phase
WHO,World Health Organization
WHOL,worst headache of life
WL,window level
WM,white matter
WNL,within normal limits
WOB,work of breathing
WOPN,Walled-off pancreatic necrosis
WPW,Wolff-Parkinson-White syndrome
WRT,with regards to
WS,Williams syndrome
WSW,women who have sex with women
WT,weight
WTU,ward test urine
WW,window width
WWP,warm and well perfused
WWS,Walker-Warburg syndrome
XBSN,X-linked bulbospinal neuropathy
X-CGD,X-linked chronic granulomatous disease
XDR-TB,extensively drug-resistant tuberculosis
XGC,xanthogranulomatous cholecystitis
XGP,xanthogranulomatous pyelonephritis
XLIF,extreme lateral interbody fusion
XOA,x-ray on arrival
XR,x-ray
XROA,x-ray on arrival
XRT,radiotherapy
XV,extended volume (GE MRI)
XX,female karyotype
XXX,XXX syndrome (trisomy X)
XXXX,X chromosome tetrasomy
XXXXX,X chromosome pentasomy
XY,male karyotype
Yb,ytterbium
YO,year old
YOF,year old female
YOM,year old male
Yr,year
YS,yolk sac
YST,yolk sac tumor
ZES,Zollinger-Ellison syndrome
ZIFT,zygote intrafallopian transfer
ZIP,zero fill interpolation(processing)
ZMC,zygomaticomaxillary complex
ZNS,Ziehl-Neelsen stain
ZOOM,zonal oblique multisection EPI
